date,p1_name,p2_name,pick,side,odds,stake,pnl,result,event_id
2026-03-05T16:02:00Z,Michal Vavrecka,Jan Mecl Jr,Michal Vavrecka,P1,1.8,320.0,256.0,WIN,6979968831150227731
2026-03-05T13:29:00Z,Mihail Trinta,Lukas Malek,Lukas Malek,P2,1.69,40.0,27.59,WIN,7309150771281527058
2026-03-05T11:53:00Z,Tomas Postelt,Michal Vavrecka,Michal Vavrecka,P2,1.54,35.0,-35.0,LOSS,3893010878706090259
2026-03-05T11:46:00Z,Mihail Trinta,Jan Steffan,Mihail Trinta,P1,1.38,75.0,28.85,WIN,4808924903824818481
2026-03-05T11:40:00Z,Petr Serak,Jaromir Cernik,Jaromir Cernik,P2,1.54,100.0,54.05,WIN,6032872523123786003
2026-03-05T11:39:00Z,Mihail Trinta,Jan Steffan,Mihail Trinta,P1,1.38,125.0,0.0,CASHOUT,6326833004123652370
2026-03-05T11:10:00Z,Michal Vavrecka,Jiri Ruzicka,Michal Vavrecka,P1,1.5,450.0,225.0,WIN,4094910883199844626
2026-03-05T06:44:00Z,Alexander Hejduk,Milan Smesny,Milan Smesny,P2,2.35,25.0,-25.0,LOSS,2755852924130296087
2026-03-04T12:09:00Z,Jaroslav Prokupek,BA Hoang Tai Nguyen,BA Hoang Tai Nguyen,P2,2.05,20.0,21.0,WIN,2732389837230440726
2026-03-04T10:40:00Z,Jiri Stach,Ivo Taichman,Jiri Stach,P1,2.0,7.0,7.0,WIN,1433677499564425521
